Date,High,Low,Open,Close,Volume,Adj Close,close_sma_ratio,upper_bb,lower_bb,percent_b,norm_adj_close,norm_close_sma_ratio,norm_close_sma_ratio_state,percent_b_state,cash,cash_state,shares,shares_state,state
2017-03-28,89.0199966430664,86.9800033569336,87.0199966430664,88.5999984741211,16264400.0,79.2238998413086,1.0113,79.34802,77.32933,93.85145026272428,1.0280807468371576,1.0140480702704329,6,3,80200.10559082031,4,260,9,6349
2017-03-29,88.81999969482422,88.08000183105469,88.5999984741211,88.2699966430664,10207600.0,78.92881774902344,1.00583,79.59988,77.34214,70.27725730258746,1.0242514955831488,1.0085632062890433,5,2,78615.62759399414,3,280,9,5239
2017-03-30,89.45999908447266,88.12000274658203,88.19999694824219,89.02999877929688,11631000.0,79.60840606689453,1.01072,80.18896,77.33963,79.6248966211192,1.0330704462631608,1.0134664941992801,6,3,80194.20394897461,4,260,9,6349
2017-03-31,88.73999786376953,87.75,88.70999908447266,87.83999633789062,16987600.0,78.54434204101562,0.99596,80.09679,77.62853,37.10354828971125,1.0192621921807514,0.9986663859058047,3,2,78602.03582763672,3,280,9,3239
2017-04-03,88.16999816894531,86.5999984741211,87.98999786376953,87.5199966430664,19831800.0,78.25819396972656,0.99171,79.98286,77.8426,19.417919772670537,1.0155488768374505,0.9944048371085642,2,1,78602.03582763672,3,280,9,2139
2017-04-04,87.66999816894531,86.72000122070312,86.88999938964844,87.30999755859375,14280800.0,78.51899719238281,0.99679,79.82247,77.72104,37.972104347173726,1.0189332945758232,0.9994986413179716,3,2,80167.19970703125,4,260,9,3249
2017-04-05,88.54000091552734,86.12999725341797,88.41999816894531,86.19000244140625,17635500.0,77.95821380615234,0.99212,79.82373,77.33153,25.145807164446826,1.0116560637946506,0.9948159512278274,2,2,78596.8197631836,3,280,9,2239
2017-04-06,86.91000366210938,85.25,85.9800033569336,86.4800033569336,14379600.0,78.22051239013672,0.99898,78.78228,77.81782,41.75314581597165,1.0150598866897258,1.0016945923452556,3,2,78596.8197631836,3,280,9,3239
2017-04-07,86.80999755859375,85.70999908447266,85.93000030517578,86.18000030517578,13097100.0,77.94915771484375,0.99703,78.65551,77.70652,25.567994904451055,1.0115385437895181,0.9997392934853453,3,2,78596.8197631836,3,280,9,3239
2017-04-10,86.69000244140625,85.4000015258789,86.08000183105469,85.87999725341797,15081600.0,77.67779541015625,0.99504,78.70137,77.4285,19.585300160758823,1.008017101883409,0.9977438859308727,2,1,78596.8197631836,3,280,9,2139
2017-04-11,85.79000091552734,84.80000305175781,85.54000091552734,85.7300033569336,14690500.0,77.54214477539062,0.9958,78.39998,77.33915,19.135467076781595,1.0062567769539608,0.9985059511275557,2,1,80150.37567138672,4,260,9,2149
2017-04-12,85.94999694824219,85.02999877929688,85.93000030517578,85.4000015258789,14730600.0,77.24365997314453,0.99379,78.47707,76.97624,17.81813883947737,1.0023833690678634,0.9964904892258019,2,1,80150.37567138672,4,260,9,2149
2017-04-13,86.98999786376953,84.4000015258789,85.5,84.4000015258789,30529800.0,76.33917999267578,0.98693,78.58991,76.11086,9.209979333848803,0.9906460214280453,0.9896118481083737,1,1,80150.37567138672,4,260,9,1149
2017-04-17,86.08000183105469,84.37000274658203,84.44000244140625,85.86000061035156,19071700.0,77.65972137451172,1.00475,78.41359,76.17142,66.37772222943488,1.007782556902652,1.0074802715358622,4,2,81677.15927124023,4,240,8,4248
2017-04-18,85.62999725341797,84.73999786376953,85.36000061035156,85.16000366210938,14127000.0,77.0265884399414,0.99824,78.20833,76.11618,43.515447742341834,0.9995664531571398,1.0009525814958538,3,2,81677.15927124023,4,240,8,3248
2017-04-19,85.91999816894531,84.36000061035156,85.5,84.45999908447266,17588500.0,76.39342498779297,0.99299,78.06263,75.8024,26.148886962519956,0.9913499533880216,0.9956883153345567,2,2,80136.6275024414,4,260,9,2249
2017-04-20,85.77999877929688,84.55000305175781,84.9800033569336,85.55000305175781,15635800.0,77.37933349609375,1.00545,78.13281,75.78649,67.88688227069392,1.0041439910150165,1.0081821736907017,5,2,78608.75900268555,3,280,9,5239
2017-04-21,85.68000030517578,84.51000213623047,85.5,84.5199966430664,19820600.0,76.44770812988281,0.99307,78.09986,75.86285,26.144636362055365,0.9920543803775056,0.9957685327236812,2,2,80156.34567260742,4,260,9,2249
2017-04-24,88.05000305175781,86.41999816894531,86.55000305175781,87.5,25468300.0,79.1430892944336,1.02413,79.51943,75.03662,91.60480355923168,1.0270320763280059,1.026912934051279,7,3,78627.39151000977,3,280,9,7339
2017-04-25,89.12999725341797,88.26000213623047,88.55000305175781,88.26000213623047,18253800.0,79.83051300048828,1.02559,80.98579,74.69184,81.64464287908683,1.0359527060689033,1.0283769014028017,8,3,77044.5297241211,3,300,9,8339
2017-04-26,89.05000305175781,88.13999938964844,88.3499984741211,88.43000030517578,12832200.0,79.9842758178711,1.01817,81.69362,75.42035,72.75194305156796,1.0379480710086166,1.0209367385615016,7,2,75447.91946411133,3,320,9,7239
2017-04-27,88.37000274658203,87.01000213623047,88.37000274658203,87.61000061035156,13329000.0,79.24258422851562,1.00396,81.79796,76.06131,55.455260971396555,1.028323212290038,1.0066881248182575,4,2,73848.2339477539,3,340,9,4239
2017-04-28,87.8499984741211,86.94999694824219,87.5999984741211,87.0,10755600.0,78.69084167480469,0.99134,80.43564,78.32088,17.49426293313115,1.0211633035021952,0.9940338316838633,2,1,73848.2339477539,3,340,9,2139
2017-05-01,87.73999786376953,86.55999755859375,87.36000061035156,87.05999755859375,15712300.0,78.7451171875,0.99302,80.4953,78.10203,26.870649258128022,1.0218676314857775,0.9957183968554784,2,2,75422.05078125,3,320,9,2239
